No.,분류,처방명,별명,구성,[등록]
150,당귀제,산조인탕,,산조인:9/자감초:2/지모:4/복령:4/천궁:4,+?/?-
151,후세방,오자탕,,사상자:5/육종용:5/복분자:5/구기자:5/토사자:5,+?/?-
154,,시함박,,소시호탕+소함흉탕+반하후박탕,+?/?-
155,,시령탕,,소시호탕+오령산,+?/?-
156,,대함흉환급탕,대함환급탕,대함흉탕+대함흉환,+?/?-
157,,백자팔,,백인+자감+팔미,+?/?-
158,,시함반,,소시호탕+소함흉탕+반하사심탕,+?/?-
159,,대시함,,대시호탕+소함흉탕,+?/?-
160,,시박탕,,소시호탕+반하후박탕,+?/?-
161,,백대갈,,백호탕+대시호탕+갈금련,+?/?-
162,,시귤탕,,소시호탕+귤피죽여탕,+?/?-
163,,시함마,,소시호탕+소함흉탕+마행의감탕,+?/?-
164,,대탕포방기,대포,대함흉탕+목방기탕+방기황기탕+방기복령탕+방기지황탕,+?/?-
165,,환탕포방기,환포,대함흉탕+대함흉환+목방기탕+방기황기탕+방기복령탕+방기지황탕,+?/?-
166,,포방기탕,,목방기탕+방기황기탕+방기복령탕+방기지황탕,+?/?-
167,,삼방기탕,,방기황기탕+방기복령탕+방기지황탕,+?/?-
168,,시계마,,시호계지탕+계마각반탕,+?/?-
169,후세방,녹용쌍화탕,,숙지황:5/황기:5/당귀:5/천궁:5/계지:3.5/자감초:3.5/작약:12.5/생강:3/대추:3/뉴분골:2.5,+?/?-
170,,시함탕,,소시호탕+소함흉탕,+?/?-
171,계지제,작약감초탕,작감,작약:8/자감초:8,+?/?-
172,계지제,계지가작약생강인삼신가탕,신가탕,계지:6/작약:8/자감초:4/대추:6/생강:8/인삼:6,+?/?-
173,계지제,계강조초황신부탕,,계지:6/작약:6/자감초:4/대추:6/마황:4/세신:4/부자:1,+?/?-
174,시호제,대시호가망초탕,,시호:16/반하:16/황금:6/지실:8/작약:6/대황:4/생강:10/대추:6/망초:4,+?/?-
176,,다이어트10,,마황:280/의이인:420/행인:140,+?/?-
177,,백호육미,,백호탕+육미,+?/?-
178,후세방,곽향정기산,곽정,곽향:7.5/자소엽:5/백지:2.5/대복피:2.5/복령:2.5/후박:2.5/백출:2.5/귤피:2.5/반하:2.5/길경:2.5/자감초:2.5/생강:3/대추:3,+?/?-
186,후세방,일반쌍화탕,,숙지황:5/황기:5/당귀:5/천궁:5/계지:3.5/자감초:3.5/작약:12.5/생강:3/대추:3,+?/?-
187,계지제,계지거작약가부자탕,,계지:6/자감초:4/생강:6/대추:6/부자:1,+?/?-
188,계지제,과루계지탕,,괄루근:4/계지:6/작약:6/자감초:4/생강:6/대추:6,+?/?-
189,계지제,계지생강지실탕,계생지,계지:6/생강:6/지실:10,+?/?-
190,계지제,작약감초부자탕,,작약:6/자감초:6/부자:1,+?/?-
191,마황탕,갈근가반하탕,,마황:6/계지:4/자감초:4/갈근:8/작약:4/대추:6/생강:6/반하:16,+?/?-
192,마황제,월비가반하탕,,마황:12/석고:16/생강:6/대추:8/자감초4/반하:16,+?/?-
193,,다이어트4,,마황:140/의이인:210/행인:70,+?/?-
194,,다이어트2,,마황:100/의이인:150/행인:50,+?/?-
199,,다이어트3,,마황:120/의이인:180/행인:60,+?/?-
200,,다이어트5,,마황:160/의이인:240/행인:80,+?/?-
201,,가래기침2,,대시함+반하후박+배농산급탕+마행감석,+?/?-
202,,다이어트6,,마황:180/의이인:270/행인:90,+?/?-
203,,대시함박,,대시호탕+소함흉탕+반하후박탕,+?/?-
205,,다이어트7,,마황:200/의이인:270/행인:90,+?/?-
206,,대시함마,,대시호탕+소함흉탕+마행의감,+?/?-
207,후세방,불수산,,당귀:30/천궁:20,+?/?-
211,후세방,사물탕,,숙지황:6/당귀:6/천궁:6/작약:6,+?/?-
212,,시호배농탕,,소시호탕+배농산급탕,+?/?-
213,후세방,평위산,,백출:10/귤피:7/후박:5/자감초:3/생강:3/대추:3,+?/?-
214,후세방,보중익기탕,,황기:7.5/인삼:5/백출:5/자감초:5/당귀:2.5/귤피:2.5/승마:1.5/시호1.5,+?/?-
215,후세방,불환금정기산,,백출:10/후박:5/귤피:5/곽향:5/반하:5/자감초:5/생강:3/대추:3,+?/?-
216,,실버보약,,백자팔+당귀건중,+?/?-
217,후세방,서근쌍화탕,서근탕,건지황:5/황기:5/당귀:5/천궁:5/계지:3.5/자감초:3.5/작약:12.5/생강:3/대추:3/모과:5/갈근:5,+?/?-
218,후세방,귀비탕,,당귀:5/용안육:5/산조인:5/원지:5/인삼:5/황기:5/백출:5/복령:5/목향:2.5/자감초:1.5/생강:3/대추:3,+?/?-
219,후세방,온담탕,,반하:10/귤피:10/복령:10/지실:10/죽여:5/자감초:2.5/생강:3/대추:3,+?/?-
220,다이어트,가온체감탕,,의이인:300/숙지황:160/용안육:120/당귀:120/황기:120/괄루근:80/산약:80/상백피:80/귤피:80/천궁:60/마황:150,+?/?-
221,향부제,당귀수산,,당귀:7.5/작약:5/오약:5/향부자:5/소목:5/홍화:4/도인:3.5/계심:3/자감초:2.5,+?/?-
222,다이어트,가온체감탕0,,의이인:300/숙지황:160/용안육:120/당귀:120/황기:120/괄루근:80/산약:80/상백피:80/귤피:80/천궁:60,+?/?-
223,,백시호,,백인+소시호,+?/?-
224,임의합방,백오령,,백호가인삼탕+오령산,+?/?-
225,후세방,보중치습탕,,인삼:5/백출:5/창출:3.5/귤피:3.5/복령:3.5/맥문동:3.5/목통:3.5/당귀:3.5/황금:2.5/후박:1.5/승마:1.5,+?/?-
226,금련제,시호거반하가과루탕,,시호:16/인삼:6/황금:6/자감초:6/괄루근:8/생강:4/대추:6,+?/?-
227,후세방,원방쌍화탕,,숙지황:5/황기:5/당귀:5/천궁:5/육계:3.5/자감초:3.5/작약:12.5/생강:3/대추:3,+?/?-
228,후세방,쌍금탕,,원방쌍화탕+불환금정기산,+?/?-
229,임의합방,시함석,,소시호탕+소함흉탕+마행감석,+?/?-
